"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Total Cases per 1M Pop,Deaths per 1M Pop,TotalTests,Tests per 1M Pop,Continent,Positivepercentage,RecoveredPercentage,DeathPercentage
Nepal,31.0,0.0,3.0,28.0,0.0,1.0,0.0,15800.0,542.0,Asia,0.19620253164556964,9.67741935483871,0.0
Mongolia,31.0,0.0,5.0,26.0,0.0,9.0,0.0,1450.0,442.0,Asia,2.1379310344827585,16.129032258064516,0.0
Sierra Leone,30.0,0.0,0.0,30.0,0.0,4.0,0.0,0.0,0.0,Africa,0.0,0.0,0.0
Zimbabwe,25.0,3.0,2.0,20.0,0.0,2.0,0.2,2626.0,177.0,Africa,0.952018278750952,8.0,12.0
Angola,24.0,2.0,6.0,16.0,0.0,0.7,0.06,0.0,0.0,Africa,0.0,25.0,8.333333333333332
Antigua and Barbuda,23.0,3.0,3.0,17.0,1.0,235.0,31.0,73.0,745.0,North America,31.506849315068493,13.043478260869565,13.043478260869565
Eswatini,22.0,1.0,8.0,13.0,0.0,19.0,0.9,714.0,615.0,Africa,3.081232492997199,36.36363636363637,4.545454545454546
Laos,19.0,0.0,2.0,17.0,0.0,3.0,0.0,1318.0,181.0,Asia,1.4415781487101669,10.526315789473683,0.0
Timor-Leste,18.0,0.0,1.0,17.0,0.0,14.0,0.0,0.0,0.0,Asia,0.0,5.555555555555555,0.0
New Caledonia,18.0,0.0,14.0,4.0,1.0,63.0,0.0,3399.0,11906.0,Australia/Oceania,0.529567519858782,77.77777777777779,0.0
Belize,18.0,2.0,0.0,16.0,1.0,45.0,5.0,651.0,1637.0,North America,2.7649769585253456,0.0,11.11111111111111
Fiji,17.0,0.0,0.0,17.0,0.0,19.0,0.0,0.0,0.0,Australia/Oceania,0.0,0.0,0.0
Malawi,17.0,2.0,3.0,12.0,1.0,0.9,0.1,417.0,22.0,Africa,4.07673860911271,17.647058823529413,11.76470588235294
Dominica,16.0,0.0,8.0,8.0,0.0,222.0,0.0,345.0,4793.0,North America,4.63768115942029,50.0,0.0
Namibia,16.0,0.0,6.0,10.0,0.0,6.0,0.0,499.0,196.0,Africa,3.2064128256513023,37.5,0.0
Botswana,15.0,1.0,0.0,14.0,0.0,6.0,0.4,3602.0,1532.0,Africa,0.41643531371460296,0.0,6.666666666666667
Saint Lucia,15.0,0.0,11.0,4.0,0.0,82.0,0.0,344.0,1873.0,North America,4.3604651162790695,73.33333333333333,0.0
Curaçao,14.0,1.0,11.0,2.0,0.0,85.0,6.0,286.0,1743.0,North America,4.895104895104895,78.57142857142857,7.142857142857142
Grenada,14.0,0.0,6.0,8.0,4.0,124.0,0.0,92.0,818.0,North America,15.217391304347828,42.857142857142854,0.0
Saint Kitts and Nevis,14.0,0.0,0.0,14.0,0.0,263.0,0.0,234.0,4399.0,North America,5.982905982905983,0.0,0.0
St. Vincent Grenadines,12.0,0.0,1.0,11.0,0.0,108.0,0.0,87.0,784.0,North America,13.793103448275861,8.333333333333332,0.0
CAR,12.0,0.0,4.0,8.0,0.0,2.0,0.0,0.0,0.0,Africa,0.0,33.33333333333333,0.0
Seychelles,11.0,0.0,5.0,6.0,0.0,112.0,0.0,0.0,0.0,Africa,0.0,45.45454545454545,0.0
Falkland Islands,11.0,0.0,3.0,8.0,0.0,3161.0,0.0,319.0,91667.0,South America,3.4482758620689653,27.27272727272727,0.0
Turks and Caicos,11.0,1.0,0.0,10.0,0.0,284.0,26.0,83.0,2144.0,North America,13.253012048192772,0.0,9.090909090909092
Montserrat,11.0,0.0,2.0,9.0,1.0,2204.0,0.0,36.0,7212.0,North America,30.555555555555557,18.181818181818183,0.0
